"id","code","name","account_type","reconcile","non_trade"
"l10n_ph_account_100000","100000","Bank Suspense Account","asset_current","True","False"
"l10n_ph_account_100001","100001","Bank","asset_cash","True","False"
"l10n_ph_account_100201","100201","Liquidity Transfer","asset_current","True","False"
"l10n_ph_account_110000","110000","Accounts Receivable","asset_receivable","True","False"
"l10n_ph_account_110003","110003","Accounts Receivable (POS)","asset_receivable","True","False"
"l10n_ph_account_110100","110100","Advances to Suppliers","asset_prepayments","True","False"
"l10n_ph_account_110101","110101","Deposits","asset_prepayments","True","False"
"l10n_ph_account_110102","110102","Employees Receivable-Cash Advance","asset_current","True","False"
"l10n_ph_account_110103","110103","Employees Receivable-Loan","asset_current","True","False"
"l10n_ph_account_110104","110104","ER - Others","asset_current","True","False"
"l10n_ph_account_110105","110105","Prepaid Insurance","asset_prepayments","True","False"
"l10n_ph_account_110106","110106","Prepaid Pension - contribution","asset_prepayments","True","False"
"l10n_ph_account_110200","110200","Prepaid Tax - Tax Credit Certificate","asset_current","True","False"
"l10n_ph_account_110201","110201","Input VAT 12%","asset_current","True","False"
"l10n_ph_account_110202","110202","Deferred Input VAT 12%","asset_current","True","False"
"l10n_ph_account_110203","110203","Deferred Tax Asset","asset_current","True","False"
"l10n_ph_account_110205","110205","Creditable Income Tax","asset_current","True","False"
"l10n_ph_account_110206","110206","Tax Withheld by Customer","asset_current","True","False"
"l10n_ph_account_110207","110207","Expanded Withholding Tax","asset_current","True","False"
"l10n_ph_account_110208","110208","Final Withholding Tax","asset_current","True","False"
"l10n_ph_account_110209","110209","Withholding Tax on Compensation","asset_current","True","False"
"l10n_ph_account_110210","110210","Expanded Withholding Tax Creditable","asset_receivable","True","True"
"l10n_ph_account_110211","110211","Withholding Tax on Compensation Creditable","asset_receivable","True","True"
"l10n_ph_account_110212","110212","VAT Receivable","asset_receivable","True","True"
"l10n_ph_account_110300","110300","Inventory","asset_current","True","False"
"l10n_ph_account_110301","110301","Purchases","asset_current","True","False"
"l10n_ph_account_110302","110302","Stock Interim (Received)","asset_current","True","False"
"l10n_ph_account_110303","110303","Stock Interim (Delivered)","asset_current","True","False"
"l10n_ph_account_110304","110304","Stock Interim (Production)","asset_current","True","False"
"l10n_ph_account_110400","110400","Other Non-current Asset","asset_non_current","True","False"
"l10n_ph_account_110500","110500","Building and Leasehold Improvements","asset_fixed","True","False"
"l10n_ph_account_110501","110501","Furniture, Fixtures and Equipment","asset_fixed","True","False"
"l10n_ph_account_110502","110502","Vehicles","asset_fixed","True","False"
"l10n_ph_account_110503","110503","Computers","asset_fixed","True","False"
"l10n_ph_account_110504","110504","Accum Depreciation-Bldg & Leasehold Imp","asset_fixed","True","False"
"l10n_ph_account_110505","110505","Accum Depreciation-Furniture, Fixtures and Equipment","asset_fixed","True","False"
"l10n_ph_account_110506","110506","Accum Depreciation-Vehicles","asset_fixed","True","False"
"l10n_ph_account_110507","110507","Accum Depreciation-Computers","asset_fixed","True","False"
"l10n_ph_account_200000","200000","Accounts Payable","liability_payable","True","False"
"l10n_ph_account_200200","200200","Dividends Payable - Common Shares","liability_current","True","False"
"l10n_ph_account_200201","200201","Unearned Revenue","liability_current","True","False"
"l10n_ph_account_200202","200202","Customer Deposits Received","liability_current","True","False"
"l10n_ph_account_200300","200300","Output VAT 12%","liability_current","True","False"
"l10n_ph_account_200301","200301","Deferred Output VAT 12%","liability_current","True","False"
"l10n_ph_account_200302","200302","Tax Withheld","liability_current","True","False"
"l10n_ph_account_200303","200303","Expanded Withholding Tax","liability_current","True","False"
"l10n_ph_account_200304","200304","Final Withholding Tax","liability_current","True","False"
"l10n_ph_account_200305","200305","Withholding Tax on Compensation","liability_current","True","False"
"l10n_ph_account_200306","200306","Expanded Withholding Tax Payable","liability_payable","True","True"
"l10n_ph_account_200307","200307","Final Withholding Tax Payable","liability_payable","True","True"
"l10n_ph_account_200308","200308","Withholding Tax on Compensation Payable","liability_payable","True","True"
"l10n_ph_account_200309","200309","Income Tax Payable","liability_current","True","False"
"l10n_ph_account_200310","200310","Accrued Fringe Benefit Tax","liability_current","True","False"
"l10n_ph_account_200311","200311","VAT Payable","liability_payable","True","True"
"l10n_ph_account_200400","200400","Other Non-current Liability","liability_non_current","True","False"
